18/11/25 06:08:51 INFO client.RMProxy: Connecting to ResourceManager at master/172.16.1.1:8032
18/11/25 06:08:52 INFO input.FileInputFormat: Total input paths to process : 32
18/11/25 06:08:52 INFO mapreduce.JobSubmitter: number of splits:32
18/11/25 06:08:52 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1543099092534_0034
18/11/25 06:08:53 INFO impl.YarnClientImpl: Submitted application application_1543099092534_0034
18/11/25 06:08:53 INFO mapreduce.Job: The url to track the job: http://master:8088/proxy/application_1543099092534_0034/
18/11/25 06:08:53 INFO mapreduce.Job: Running job: job_1543099092534_0034
18/11/25 06:09:00 INFO mapreduce.Job: Job job_1543099092534_0034 running in uber mode : false
18/11/25 06:09:00 INFO mapreduce.Job:  map 0% reduce 0%
18/11/25 06:11:33 INFO mapreduce.Job:  map 20% reduce 0%
18/11/25 06:11:38 INFO mapreduce.Job:  map 21% reduce 0%
18/11/25 06:11:45 INFO mapreduce.Job:  map 22% reduce 0%
18/11/25 06:11:51 INFO mapreduce.Job:  map 23% reduce 0%
18/11/25 06:12:01 INFO mapreduce.Job:  map 24% reduce 0%
18/11/25 06:12:13 INFO mapreduce.Job:  map 25% reduce 0%
18/11/25 06:12:24 INFO mapreduce.Job:  map 26% reduce 0%
18/11/25 06:12:27 INFO mapreduce.Job:  map 27% reduce 0%
18/11/25 06:12:30 INFO mapreduce.Job:  map 28% reduce 0%
18/11/25 06:12:36 INFO mapreduce.Job:  map 29% reduce 0%
18/11/25 06:12:40 INFO mapreduce.Job:  map 30% reduce 0%
18/11/25 06:12:45 INFO mapreduce.Job:  map 31% reduce 0%
18/11/25 06:12:50 INFO mapreduce.Job:  map 32% reduce 0%
18/11/25 06:12:58 INFO mapreduce.Job:  map 33% reduce 0%
18/11/25 06:13:13 INFO mapreduce.Job:  map 34% reduce 0%
18/11/25 06:13:19 INFO mapreduce.Job:  map 35% reduce 0%
18/11/25 06:13:24 INFO mapreduce.Job:  map 36% reduce 0%
18/11/25 06:13:30 INFO mapreduce.Job:  map 37% reduce 0%
18/11/25 06:13:39 INFO mapreduce.Job:  map 38% reduce 0%
18/11/25 06:13:46 INFO mapreduce.Job:  map 39% reduce 0%
18/11/25 06:13:53 INFO mapreduce.Job:  map 40% reduce 0%
18/11/25 06:13:58 INFO mapreduce.Job:  map 41% reduce 0%
18/11/25 06:14:04 INFO mapreduce.Job:  map 42% reduce 0%
18/11/25 06:14:09 INFO mapreduce.Job:  map 43% reduce 0%
18/11/25 06:14:16 INFO mapreduce.Job:  map 44% reduce 0%
18/11/25 06:14:22 INFO mapreduce.Job:  map 45% reduce 0%
18/11/25 06:14:27 INFO mapreduce.Job:  map 46% reduce 0%
18/11/25 06:14:33 INFO mapreduce.Job:  map 47% reduce 0%
18/11/25 06:14:40 INFO mapreduce.Job:  map 48% reduce 0%
18/11/25 06:14:52 INFO mapreduce.Job:  map 49% reduce 0%
18/11/25 06:14:58 INFO mapreduce.Job:  map 50% reduce 0%
18/11/25 06:15:03 INFO mapreduce.Job:  map 51% reduce 0%
18/11/25 06:15:07 INFO mapreduce.Job:  map 52% reduce 0%
18/11/25 06:15:11 INFO mapreduce.Job:  map 53% reduce 0%
18/11/25 06:15:18 INFO mapreduce.Job:  map 54% reduce 0%
18/11/25 06:15:27 INFO mapreduce.Job:  map 55% reduce 0%
18/11/25 06:15:38 INFO mapreduce.Job:  map 56% reduce 0%
18/11/25 06:15:44 INFO mapreduce.Job:  map 57% reduce 0%
18/11/25 06:15:48 INFO mapreduce.Job:  map 58% reduce 0%
18/11/25 06:15:54 INFO mapreduce.Job:  map 59% reduce 0%
18/11/25 06:15:57 INFO mapreduce.Job:  map 60% reduce 0%
18/11/25 06:16:02 INFO mapreduce.Job:  map 61% reduce 0%
18/11/25 06:16:07 INFO mapreduce.Job:  map 62% reduce 0%
18/11/25 06:16:13 INFO mapreduce.Job:  map 63% reduce 0%
18/11/25 06:16:19 INFO mapreduce.Job:  map 64% reduce 0%
18/11/25 06:16:24 INFO mapreduce.Job:  map 65% reduce 0%
18/11/25 06:16:27 INFO mapreduce.Job:  map 66% reduce 0%
18/11/25 06:16:31 INFO mapreduce.Job:  map 67% reduce 0%
18/11/25 06:16:34 INFO mapreduce.Job:  map 68% reduce 0%
18/11/25 06:16:36 INFO mapreduce.Job:  map 68% reduce 1%
18/11/25 06:16:43 INFO mapreduce.Job:  map 69% reduce 1%
18/11/25 06:16:52 INFO mapreduce.Job:  map 70% reduce 1%
18/11/25 06:17:02 INFO mapreduce.Job:  map 70% reduce 2%
18/11/25 06:17:05 INFO mapreduce.Job:  map 71% reduce 2%
18/11/25 06:17:06 INFO mapreduce.Job:  map 71% reduce 3%
18/11/25 06:17:09 INFO mapreduce.Job:  map 71% reduce 4%
18/11/25 06:17:10 INFO mapreduce.Job:  map 72% reduce 4%
18/11/25 06:17:15 INFO mapreduce.Job:  map 73% reduce 4%
18/11/25 06:17:19 INFO mapreduce.Job:  map 74% reduce 4%
18/11/25 06:17:26 INFO mapreduce.Job:  map 75% reduce 5%
18/11/25 06:17:31 INFO mapreduce.Job:  map 75% reduce 6%
18/11/25 06:17:41 INFO mapreduce.Job:  map 76% reduce 6%
18/11/25 06:17:52 INFO mapreduce.Job:  map 77% reduce 6%
18/11/25 06:17:54 INFO mapreduce.Job:  map 77% reduce 7%
18/11/25 06:17:57 INFO mapreduce.Job:  map 77% reduce 8%
18/11/25 06:18:01 INFO mapreduce.Job:  map 78% reduce 8%
18/11/25 06:18:11 INFO mapreduce.Job:  map 79% reduce 8%
18/11/25 06:18:16 INFO mapreduce.Job:  map 79% reduce 9%
18/11/25 06:18:18 INFO mapreduce.Job:  map 80% reduce 9%
18/11/25 06:18:23 INFO mapreduce.Job:  map 81% reduce 9%
18/11/25 06:18:29 INFO mapreduce.Job:  map 82% reduce 9%
18/11/25 06:18:35 INFO mapreduce.Job:  map 82% reduce 10%
18/11/25 06:18:38 INFO mapreduce.Job:  map 83% reduce 10%
18/11/25 06:18:46 INFO mapreduce.Job:  map 84% reduce 10%
18/11/25 06:18:53 INFO mapreduce.Job:  map 85% reduce 10%
18/11/25 06:19:02 INFO mapreduce.Job:  map 86% reduce 10%
18/11/25 06:19:14 INFO mapreduce.Job:  map 87% reduce 10%
18/11/25 06:19:20 INFO mapreduce.Job:  map 88% reduce 10%
18/11/25 06:19:24 INFO mapreduce.Job:  map 89% reduce 10%
18/11/25 06:19:28 INFO mapreduce.Job:  map 89% reduce 11%
18/11/25 06:19:32 INFO mapreduce.Job:  map 90% reduce 11%
18/11/25 06:19:48 INFO mapreduce.Job:  map 91% reduce 13%
18/11/25 06:19:58 INFO mapreduce.Job:  map 91% reduce 14%
18/11/25 06:20:07 INFO mapreduce.Job:  map 91% reduce 15%
18/11/25 06:20:12 INFO mapreduce.Job:  map 92% reduce 15%
18/11/25 06:20:24 INFO mapreduce.Job:  map 93% reduce 15%
18/11/25 06:20:45 INFO mapreduce.Job:  map 94% reduce 15%
18/11/25 06:20:55 INFO mapreduce.Job:  map 95% reduce 15%
18/11/25 06:21:12 INFO mapreduce.Job:  map 96% reduce 15%
18/11/25 06:21:24 INFO mapreduce.Job:  map 96% reduce 16%
18/11/25 06:21:39 INFO mapreduce.Job:  map 97% reduce 16%
18/11/25 06:21:52 INFO mapreduce.Job:  map 97% reduce 17%
18/11/25 06:21:53 INFO mapreduce.Job:  map 98% reduce 17%
18/11/25 06:22:09 INFO mapreduce.Job:  map 98% reduce 18%
18/11/25 06:22:12 INFO mapreduce.Job:  map 99% reduce 18%
18/11/25 06:22:23 INFO mapreduce.Job:  map 99% reduce 19%
18/11/25 06:22:27 INFO mapreduce.Job:  map 100% reduce 19%
18/11/25 06:22:38 INFO mapreduce.Job:  map 100% reduce 20%
18/11/25 06:22:46 INFO mapreduce.Job:  map 100% reduce 22%
18/11/25 06:22:47 INFO mapreduce.Job:  map 100% reduce 24%
18/11/25 06:22:48 INFO mapreduce.Job:  map 100% reduce 26%
18/11/25 06:22:50 INFO mapreduce.Job:  map 100% reduce 28%
18/11/25 06:22:51 INFO mapreduce.Job:  map 100% reduce 30%
18/11/25 06:22:52 INFO mapreduce.Job:  map 100% reduce 31%
18/11/25 06:22:53 INFO mapreduce.Job:  map 100% reduce 32%
18/11/25 06:22:54 INFO mapreduce.Job:  map 100% reduce 33%
18/11/25 06:22:55 INFO mapreduce.Job:  map 100% reduce 34%
18/11/25 06:22:56 INFO mapreduce.Job:  map 100% reduce 35%
18/11/25 06:22:57 INFO mapreduce.Job:  map 100% reduce 36%
18/11/25 06:22:58 INFO mapreduce.Job:  map 100% reduce 37%
18/11/25 06:22:59 INFO mapreduce.Job:  map 100% reduce 38%
18/11/25 06:23:00 INFO mapreduce.Job:  map 100% reduce 39%
18/11/25 06:23:02 INFO mapreduce.Job:  map 100% reduce 40%
18/11/25 06:23:04 INFO mapreduce.Job:  map 100% reduce 41%
18/11/25 06:23:07 INFO mapreduce.Job:  map 100% reduce 42%
18/11/25 06:23:10 INFO mapreduce.Job:  map 100% reduce 43%
18/11/25 06:23:12 INFO mapreduce.Job:  map 100% reduce 44%
18/11/25 06:23:15 INFO mapreduce.Job:  map 100% reduce 45%
18/11/25 06:23:18 INFO mapreduce.Job:  map 100% reduce 46%
18/11/25 06:23:21 INFO mapreduce.Job:  map 100% reduce 47%
18/11/25 06:23:26 INFO mapreduce.Job:  map 100% reduce 48%
18/11/25 06:23:29 INFO mapreduce.Job:  map 100% reduce 49%
18/11/25 06:23:34 INFO mapreduce.Job:  map 100% reduce 50%
18/11/25 06:23:37 INFO mapreduce.Job:  map 100% reduce 51%
18/11/25 06:23:40 INFO mapreduce.Job:  map 100% reduce 52%
18/11/25 06:23:42 INFO mapreduce.Job:  map 100% reduce 53%
18/11/25 06:23:45 INFO mapreduce.Job:  map 100% reduce 54%
18/11/25 06:23:48 INFO mapreduce.Job:  map 100% reduce 55%
18/11/25 06:23:50 INFO mapreduce.Job:  map 100% reduce 56%
18/11/25 06:23:53 INFO mapreduce.Job:  map 100% reduce 57%
18/11/25 06:23:56 INFO mapreduce.Job:  map 100% reduce 58%
18/11/25 06:24:01 INFO mapreduce.Job:  map 100% reduce 59%
18/11/25 06:24:08 INFO mapreduce.Job:  map 100% reduce 60%
18/11/25 06:24:14 INFO mapreduce.Job:  map 100% reduce 61%
18/11/25 06:24:15 INFO mapreduce.Job:  map 100% reduce 62%
18/11/25 06:24:17 INFO mapreduce.Job:  map 100% reduce 63%
18/11/25 06:24:20 INFO mapreduce.Job:  map 100% reduce 64%
18/11/25 06:24:22 INFO mapreduce.Job:  map 100% reduce 65%
18/11/25 06:24:26 INFO mapreduce.Job:  map 100% reduce 66%
18/11/25 06:24:30 INFO mapreduce.Job:  map 100% reduce 67%
18/11/25 06:24:32 INFO mapreduce.Job:  map 100% reduce 68%
18/11/25 06:24:33 INFO mapreduce.Job:  map 100% reduce 69%
18/11/25 06:24:36 INFO mapreduce.Job:  map 100% reduce 70%
18/11/25 06:24:40 INFO mapreduce.Job:  map 100% reduce 71%
18/11/25 06:24:44 INFO mapreduce.Job:  map 100% reduce 72%
18/11/25 06:24:45 INFO mapreduce.Job:  map 100% reduce 73%
18/11/25 06:24:50 INFO mapreduce.Job:  map 100% reduce 75%
18/11/25 06:24:52 INFO mapreduce.Job:  map 100% reduce 76%
18/11/25 06:24:53 INFO mapreduce.Job:  map 100% reduce 77%
18/11/25 06:24:55 INFO mapreduce.Job:  map 100% reduce 78%
18/11/25 06:24:56 INFO mapreduce.Job:  map 100% reduce 79%
18/11/25 06:24:59 INFO mapreduce.Job:  map 100% reduce 80%
18/11/25 06:25:02 INFO mapreduce.Job:  map 100% reduce 81%
18/11/25 06:25:05 INFO mapreduce.Job:  map 100% reduce 83%
18/11/25 06:25:08 INFO mapreduce.Job:  map 100% reduce 84%
18/11/25 06:25:11 INFO mapreduce.Job:  map 100% reduce 85%
18/11/25 06:25:14 INFO mapreduce.Job:  map 100% reduce 86%
18/11/25 06:25:17 INFO mapreduce.Job:  map 100% reduce 87%
18/11/25 06:25:20 INFO mapreduce.Job:  map 100% reduce 88%
18/11/25 06:25:21 INFO mapreduce.Job:  map 100% reduce 89%
18/11/25 06:25:25 INFO mapreduce.Job:  map 100% reduce 90%
18/11/25 06:25:30 INFO mapreduce.Job:  map 100% reduce 91%
18/11/25 06:25:33 INFO mapreduce.Job:  map 100% reduce 92%
18/11/25 06:25:36 INFO mapreduce.Job:  map 100% reduce 93%
18/11/25 06:25:37 INFO mapreduce.Job:  map 100% reduce 94%
18/11/25 06:25:42 INFO mapreduce.Job:  map 100% reduce 95%
18/11/25 06:25:46 INFO mapreduce.Job:  map 100% reduce 96%
18/11/25 06:25:54 INFO mapreduce.Job:  map 100% reduce 97%
18/11/25 06:26:00 INFO mapreduce.Job:  map 100% reduce 98%
18/11/25 06:26:08 INFO mapreduce.Job:  map 100% reduce 99%
18/11/25 06:26:20 INFO mapreduce.Job:  map 100% reduce 100%
18/11/25 06:26:23 INFO mapreduce.Job: Job job_1543099092534_0034 completed successfully
18/11/25 06:26:23 INFO mapreduce.Job: Counters: 51
	File System Counters
		FILE: Number of bytes read=13819463432
		FILE: Number of bytes written=20721408459
		FILE: Number of read operations=0
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		HDFS: Number of bytes read=2351564340
		HDFS: Number of bytes written=8283411
		HDFS: Number of read operations=192
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=64
	Job Counters 
		Killed reduce tasks=2
		Launched map tasks=32
		Launched reduce tasks=34
		Data-local map tasks=28
		Rack-local map tasks=4
		Total time spent by all maps in occupied slots (ms)=12373475
		Total time spent by all reduces in occupied slots (ms)=9560895
		Total time spent by all map tasks (ms)=12373475
		Total time spent by all reduce tasks (ms)=9560895
		Total vcore-seconds taken by all map tasks=12373475
		Total vcore-seconds taken by all reduce tasks=9560895
		Total megabyte-seconds taken by all map tasks=12670438400
		Total megabyte-seconds taken by all reduce tasks=9790356480
	Map-Reduce Framework
		Map input records=63491700
		Map output records=400959630
		Map output bytes=6102730639
		Map output materialized bytes=6904656043
		Input split bytes=3639
		Combine input records=0
		Combine output records=0
		Reduce input groups=30193
		Reduce shuffle bytes=6904656043
		Reduce input records=400959630
		Reduce output records=30193
		Spilled Records=1202878890
		Shuffled Maps =1024
		Failed Shuffles=0
		Merged Map outputs=1024
		GC time elapsed (ms)=69043
		CPU time spent (ms)=2393500
		Physical memory (bytes) snapshot=15106465792
		Virtual memory (bytes) snapshot=133213827072
		Total committed heap usage (bytes)=11230273536
	Shuffle Errors
		BAD_ID=0
		CONNECTION=0
		IO_ERROR=0
		WRONG_LENGTH=0
		WRONG_MAP=0
		WRONG_REDUCE=0
	File Input Format Counters 
		Bytes Read=2351560701
	File Output Format Counters 
		Bytes Written=8283411
